Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,000,000Negotiable",,206 SQM,32icon/categories/area206 SQM,,icon/categories/area206,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,125 SQM,31icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"1,300,000",Giza,6th of October,3,2,124,No,Apartment,Cash,Ready To Move
"2,550,000",Cairo,Madinaty,3,3,211,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,2,2,153,No,Apartment,Cash,Ready To Move
"3,700,000",Cairo,Rehab City,3,3,171,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Sheraton,2,1,92,No,Apartment,Cash,Ready To Move
"3,850,000",Giza,Sheikh Zayed,3,3,197,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"1,500,000",Giza,Sheikh Zayed,2,1,90,No,Apartment,Cash,Ready To Move
"1,450,000",Alexandria,Smoha,2,2,100,No,Apartment,Cash,Ready To Move
"4,900,000",Cairo,Madinaty,4,3,320,No,Apartment,Cash,Ready To Move
"280,000",Giza,Hadayek 6th of October,3,1,90,No,Apartment,Cash,Ready To Move
"1,300,000",Giza,6th of October,2,2,130,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,135 SQM,32icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"3,850,000",Giza,Sheikh Zayed,3,3,197,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
